City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
500,Forraskut,HU,46.3653,19.9097,293.74,53,15,3.27,few clouds
501,Silver City,US,32.7701,-108.2803,305.88,15,0,5.81,clear sky
502,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,300.7,74,90,1.68,light rain
503,Porto Nacional,BR,-10.7081,-48.4172,304.15,48,11,1.2,few clouds
504,Luanda,AO,-8.8368,13.2343,297.15,88,20,1.54,few clouds
505,Banepa,NP,27.6298,85.5214,294.33,94,75,1.03,broken clouds
506,Fort Nelson,CA,58.8053,-122.7002,290.92,63,75,2.57,broken clouds
507,Peleduy,RU,59.6289,112.7406,286.04,79,65,2.09,broken clouds
508,Kargopol,RU,61.5071,38.9456,279.64,82,17,2.27,few clouds
509,Chimbote,PE,-9.0853,-78.5783,292.63,78,73,3.75,broken clouds
510,Sioux Lookout,CA,50.1001,-91.917,291.19,45,75,2.57,broken clouds
511,Carutapera,BR,-1.195,-46.02,297.41,94,41,2.35,scattered clouds
512,Itarema,BR,-2.9248,-39.9167,298.68,84,12,3.6,few clouds
513,Yar-Sale,RU,66.8333,70.8333,278.94,65,37,6.1,scattered clouds
514,Brigantine,US,39.4101,-74.3646,298.82,46,8,5.01,clear sky
515,Thinadhoo,MV,0.5333,72.9333,301.73,68,83,2.73,broken clouds
516,Guanare,VE,9.0418,-69.7421,304.16,62,79,3.09,broken clouds
517,Saint-Augustin,CA,51.226,-58.6502,284.83,49,31,5.36,scattered clouds
518,Bay Roberts,CA,47.5999,-53.2648,289.01,68,83,3.1,broken clouds
519,Pontes E Lacerda,BR,-15.2261,-59.3353,304.46,37,39,2.31,scattered clouds
520,Manuk Mangkaw,PH,4.8,119.85,301.86,70,18,2.98,few clouds
521,Ostersund,SE,63.1792,14.6357,288.4,38,0,5.14,clear sky
522,Sinazongwe,ZM,-17.2614,27.4618,291.35,56,20,4.47,few clouds
523,Masinigudi,IN,11.5667,76.6667,293.57,89,100,1.51,light rain
524,Wucheng,CN,29.6008,118.175,295.14,82,100,1.04,overcast clouds
525,Samarai,PG,-10.6167,150.6667,300.0,81,32,4.92,scattered clouds
526,Niteroi,BR,-22.8833,-43.1036,298.94,51,0,1.54,clear sky
527,Homer,US,59.6425,-151.5483,289.84,79,75,2.21,broken clouds
528,Cedar City,US,37.6775,-113.0619,300.59,26,19,3.63,few clouds
529,Quballat,TN,36.5418,9.6633,302.31,38,55,1.06,broken clouds
530,Kapan,AM,39.2075,46.4058,293.45,59,91,3.52,overcast clouds
531,Bend,US,44.0582,-121.3153,290.41,48,20,3.09,few clouds
532,Biak,ID,-0.9131,122.8766,297.58,82,94,1.53,light rain
533,Akhalgori,GE,42.126,44.4833,288.91,89,17,1.63,light rain
534,Antalaha,MG,-14.9003,50.2788,294.33,86,100,3.15,overcast clouds
535,Neepawa,CA,50.2289,-99.4664,290.28,52,18,3.85,few clouds
536,Mogadishu,SO,2.0371,45.3438,299.21,82,95,9.56,light rain
