City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
435,Solwezi,ZM,287.31,overcast clouds,-12.1688,26.3894,
438,Kaihua,CN,292.09,overcast clouds,23.3687,104.28,
439,Pandamatenga,BW,286.61,overcast clouds,-18.5278,25.627,
440,Nabire,ID,296.59,broken clouds,-3.3667,135.4833,
441,Severnyy,RU,289.17,clear sky,50.677,36.5532,
442,Buenos Aires,AR,288.15,fog,-34.6132,-58.3772,
444,Ust-Karsk,RU,285.52,broken clouds,52.7011,118.8077,
445,Veinticinco De Mayo,AR,287.58,clear sky,-35.4323,-60.1727,
446,Batticaloa,LK,299.69,overcast clouds,7.7102,81.6924,
447,Ternate,ID,299.46,broken clouds,0.8,127.4,
448,Fayaoue,NC,297.39,broken clouds,-20.65,166.5333,
449,Bitung,ID,296.62,overcast clouds,1.4451,125.1824,
450,Port Hardy,CA,286.25,light intensity shower rain,50.6996,-127.4199,
451,Koslan,RU,283.96,broken clouds,63.4564,48.8989,
452,Cangucu,BR,286.71,moderate rain,-31.395,-52.6756,
453,Muros,ES,290.75,overcast clouds,42.7762,-9.0603,
454,Bridlington,GB,285.87,overcast clouds,54.0831,-0.1919,
456,Nuuk,GL,280.86,clear sky,64.1835,-51.7216,
459,Kaseda,JP,292.81,scattered clouds,31.4167,130.3167,
460,Yamada,JP,285.12,moderate rain,39.4667,141.95,
461,Margate,GB,287.52,overcast clouds,51.3813,1.3862,
462,Cape Coast,GH,299.08,broken clouds,5.1053,-1.2466,
464,Mackay,AU,294.08,overcast clouds,-21.15,149.2,
465,Kaspiysk,RU,296.25,scattered clouds,42.8816,47.6392,
466,Najran,SA,299.51,clear sky,17.4924,44.1277,
467,La Baneza,ES,291.04,broken clouds,42.3003,-5.8977,
468,Katsuura,JP,291.16,overcast clouds,35.1333,140.3,
469,Frolovo,RU,284.48,clear sky,49.7713,43.6622,
470,Chimoio,MZ,287.07,drizzle,-19.1164,33.4833,
471,Flin Flon,CA,292.06,broken clouds,54.7682,-101.865,
472,Kampong Cham,KH,298.2,overcast clouds,11.9934,105.4635,
473,Larsnes,NO,287.38,few clouds,62.2028,5.5773,
474,Sandane,NO,288.82,clear sky,61.7728,6.215,
475,Miandrivazo,MG,296.18,overcast clouds,-19.5167,45.4667,
476,Turinskaya Sloboda,RU,285.22,overcast clouds,57.6232,64.3858,
477,Kedrovyy,RU,278.38,overcast clouds,56.1667,91.8167,
479,Pierre,US,287.66,overcast clouds,44.3683,-100.351,
481,Solnechnyy,RU,289.68,few clouds,50.7214,136.6319,
482,Lapeer,US,295.8,scattered clouds,43.0514,-83.3188,
483,Constantine,DZ,299.82,scattered clouds,36.365,6.6147,
484,Ambatondrazaka,MG,289.53,light rain,-17.8333,48.4167,
485,Tortoli,IT,296.49,clear sky,39.9256,9.6572,
486,Sitka,US,286.09,overcast clouds,57.0531,-135.33,
487,Abu Samrah,SY,293.82,clear sky,35.3029,37.1841,
489,Tamandare,BR,296.98,overcast clouds,-8.7597,-35.1047,
490,Isoka,ZM,287.42,broken clouds,-10.1606,32.6335,
491,Valdivia,CL,285.2,heavy intensity rain,-39.8142,-73.2459,
492,Xichang,CN,289.62,overcast clouds,27.8964,102.2634,
493,Xuanhua,CN,287.7,few clouds,40.6103,115.0447,
494,Dvorichna,UA,286.8,clear sky,49.8496,37.6857,
495,Zhezkazgan,KZ,294.3,scattered clouds,47.8043,67.7144,
496,Morondava,MG,295.13,scattered clouds,-20.2833,44.2833,
497,Ancud,CL,282.76,moderate rain,-41.8697,-73.8203,
498,Mazagao,BR,298.84,clear sky,-0.115,-51.2894,
499,Toktogul,KG,288.43,clear sky,41.8708,72.9402,
500,Forraskut,HU,293.74,few clouds,46.3653,19.9097,
504,Luanda,AO,297.15,few clouds,-8.8368,13.2343,
505,Banepa,NP,294.33,broken clouds,27.6298,85.5214,
506,Fort Nelson,CA,290.92,broken clouds,58.8053,-122.7002,
507,Peleduy,RU,286.04,broken clouds,59.6289,112.7406,
508,Kargopol,RU,279.64,few clouds,61.5071,38.9456,
509,Chimbote,PE,292.63,broken clouds,-9.0853,-78.5783,
510,Sioux Lookout,CA,291.19,broken clouds,50.1001,-91.917,
511,Carutapera,BR,297.41,scattered clouds,-1.195,-46.02,
512,Itarema,BR,298.68,few clouds,-2.9248,-39.9167,
513,Yar-Sale,RU,278.94,scattered clouds,66.8333,70.8333,
514,Brigantine,US,298.82,clear sky,39.4101,-74.3646,
517,Saint-Augustin,CA,284.83,scattered clouds,51.226,-58.6502,
518,Bay Roberts,CA,289.01,broken clouds,47.5999,-53.2648,
521,Ostersund,SE,288.4,clear sky,63.1792,14.6357,
522,Sinazongwe,ZM,291.35,few clouds,-17.2614,27.4618,
523,Masinigudi,IN,293.57,light rain,11.5667,76.6667,
524,Wucheng,CN,295.14,overcast clouds,29.6008,118.175,
525,Samarai,PG,300.0,scattered clouds,-10.6167,150.6667,
526,Niteroi,BR,298.94,clear sky,-22.8833,-43.1036,
527,Homer,US,289.84,broken clouds,59.6425,-151.5483,
530,Kapan,AM,293.45,overcast clouds,39.2075,46.4058,
531,Bend,US,290.41,few clouds,44.0582,-121.3153,
532,Biak,ID,297.58,light rain,-0.9131,122.8766,
533,Akhalgori,GE,288.91,light rain,42.126,44.4833,
534,Antalaha,MG,294.33,overcast clouds,-14.9003,50.2788,
535,Neepawa,CA,290.28,few clouds,50.2289,-99.4664,
536,Mogadishu,SO,299.21,light rain,2.0371,45.3438,
537,Sao Felix Do Xingu,BR,299.17,broken clouds,-6.6447,-51.995,
538,Enshi,CN,292.71,broken clouds,30.3,109.4833,
539,Quelimane,MZ,292.33,moderate rain,-17.8786,36.8883,
540,Arman,RU,284.72,light rain,59.7,150.1667,
